"OTU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8"
"OTU.584",0.611075885009889,-1.40264155202191,1.00745632937998,-1.39226039989757,0.163843558472524,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","uncultured",NA,NA
"OTU.857",0.219248795454571,-0.522465717079321,0.866306090825878,-0.603095975674414,0.546444843464071,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,NA
"OTU.851",0.388979869292372,0.249137905190569,0.962248326863502,0.258912276836736,0.795702925553589,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA
"OTU.580",0.636043940140136,0.378193373190597,0.949432809984846,0.398336111005721,0.690382445397094,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","BVA18","uncultured_bacterium",NA,NA
"OTU.581",0.850866535115443,-0.869851071878497,0.997373166612948,-0.872142043717184,0.383130892146316,NA,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncultured","uncultured_bacterium",NA
"OTU.2500",0.247189606711389,0.149379945776016,0.914654251056426,0.163318484119527,0.870267681069957,NA,"Unassigned",NA,NA,NA,NA,NA,NA,NA
"OTU.3863",0.0702335252149368,0.768219730518045,0.818528574550002,0.938537461493491,0.347968274614872,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Gemmata","uncultured_bacterium",NA
"OTU.3862",0.0671056737250998,-0.203100238155151,0.805189336718034,-0.252239105628238,0.800856253126085,NA,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587","uncultured_bacterium",NA
"OTU.3860",0.206745332173745,-0.40077325203564,0.795676388175217,-0.503688758384251,0.614480109276075,NA,"Bacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA,NA,NA
"OTU.3867",0.0676479141219701,-0.203842411277988,0.80520226690917,-0.253156777688236,0.800147065175909,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidiferrobacter",NA,NA
"OTU.3866",0.1342113474502,-0.319013960935569,0.808068551662366,-0.394785764498928,0.693001001662983,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured",NA,NA
"OTU.452",0.228783275529409,-0.464142416920007,0.845008913430463,-0.549275172773904,0.582816622728276,NA,"Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured_bacterium",NA
"OTU.101",7.32774945345156,-0.391403246929287,0.627412495062306,-0.623837188467881,0.532734514032575,0.893619184828836,"Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84","uncultured_beta_proteobacterium",NA,NA,NA
"OTU.454",0.059103174511118,-0.182065142523598,0.805415076614252,-0.226051321622821,0.821161504337449,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA,NA
"OTU.107",6.31096603581815,-2.43932184378607,0.746331418579746,-3.26841639392329,0.00108151124720181,0.0198489123015861,"Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,NA
"OTU.456",0.0698094756965087,-0.197039876073045,0.805767466469089,-0.244536897147862,0.806815029369924,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystineae","Haliangiaceae","Haliangium","uncultured_bacterium"
"OTU.105",3.7213417579479,-0.186797388310729,0.685593796300084,-0.272460733044568,0.785267780018161,0.94679553872629,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacterineae","uncultured","uncultured_bacterium",NA
"OTU.2808",0.172363789534474,-0.435829733149929,0.830441713125079,-0.524816764694822,0.599710576114729,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystineae","Haliangiaceae","Haliangium","uncultured_bacterium"
"OTU.2806",0.0912009375825274,-0.299538063590862,0.804337615356853,-0.372403401099137,0.709592522032293,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sorangiineae","Polyangiaceae","Sorangium","uncultured_bacterium"
"OTU.2805",0.0684679282386183,-0.195347701862799,0.805732803585206,-0.242447249253816,0.808433626591275,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sorangiineae","Sandaracinaceae","uncultured_bacterium",NA
"OTU.3322",0.059103174511118,-0.182065142523598,0.805415076614252,-0.226051321622821,0.821161504337449,NA,"Bacteria","Verrucomicrobia","OPB35_soil_group","uncultured_bacterium",NA,NA,NA,NA
"OTU.6062",0.0671056737250998,-0.203100238155151,0.805189336718034,-0.252239105628238,0.800856253126085,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","uncultured_bacterium",NA
"OTU.1578",0.1830483566347,-0.445997287839156,0.833429602116745,-0.535134925261128,0.592556560928166,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystineae","Haliangiaceae","Haliangium","uncultured_bacterium"
"OTU.4092",0.0823336460329628,-0.210943756691133,0.806004033135888,-0.261715510120245,0.79354078187003,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_bacterium",NA
"OTU.1570",0.143293745415533,0.478351225501521,0.837461073679789,0.571192190939281,0.567869371097119,NA,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21","uncultured_bacterium",NA,NA
"OTU.1575",0.0684679282386183,-0.195347701862799,0.805732803585206,-0.242447249253816,0.808433626591275,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_bacterium",NA
"OTU.1574",0.136115842360588,-0.366408833722423,0.815117985344068,-0.449516315810108,0.653059240903979,NA,"Bacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",NA,NA,NA,NA
"OTU.3512",0.059103174511118,-0.182065142523598,0.805415076614252,-0.226051321622821,0.821161504337449,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystineae","Haliangiaceae","Haliangium",NA
"OTU.3043",0.206349367575525,0.227696793490985,0.882489724835638,0.258016367877137,0.796394275073493,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_bacterium",NA
"OTU.3042",0.269279011315926,1.36893018651268,0.872294827391193,1.56934346453342,0.11656792974248,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_bacterium",NA
"OTU.3045",0.0676479141219701,-0.203842411277988,0.80520226690917,-0.253156777688236,0.800147065175909,NA,"Bacteria","Acidobacteria","BPC102","uncultured_bacterium",NA,NA,NA,NA
"OTU.6039",0.0918474190521727,-0.233517696564365,0.805914364111278,-0.289754975172674,0.772003695393656,NA,"Bacteria","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Metachlamydia",NA,NA,NA
