OTU,shift,Day,Treatment
OTU.953,0.03701392085580402,1,13CXPS
OTU.952,-0.01968809169908048,1,13CXPS
OTU.955,0.017697586993042025,1,13CXPS
OTU.954,-0.01797197416295493,1,13CXPS
OTU.4824,,1,13CXPS
OTU.2470,0.008158034477677267,1,13CXPS
OTU.4825,0.00738843052402216,1,13CXPS
OTU.5519,,1,13CXPS
OTU.2238,,1,13CXPS
OTU.5511,,1,13CXPS
OTU.2230,,1,13CXPS
OTU.5513,,1,13CXPS
OTU.5512,,1,13CXPS
OTU.2235,,1,13CXPS
OTU.2234,,1,13CXPS
OTU.2237,,1,13CXPS
OTU.2236,,1,13CXPS
OTU.2727,,1,13CXPS
OTU.2726,,1,13CXPS
OTU.2725,,1,13CXPS
OTU.2724,-0.02954303500717237,1,13CXPS
OTU.2723,,1,13CXPS
OTU.2722,-0.039812214923686584,1,13CXPS
OTU.2721,,1,13CXPS
OTU.2720,-0.0021664393228588708,1,13CXPS
OTU.4822,-0.0031266582672762055,1,13CXPS
OTU.2729,0.04585324094415566,1,13CXPS
OTU.2728,-0.011397184033409724,1,13CXPS
OTU.4821,,1,13CXPS
